Dataset,County,County_Urban,County_Bioregion,Frequency_General,Frequency_Tuna,Frequency_Shrimp,Frequency_Salmon,Frequency_Flounder,Frequency_BlueCrab,Frequency_Clams,Frequency_Mullet,Frequency_Oysters,Frequency_raw_Tuna,Frequency_raw_Shrimp,Frequency_raw_Salmon ,Frequency_raw_Flounder,Frequency_raw_BlueCrab,Frequency_raw_Clams ,Frequency_raw_Mullet ,Frequency_raw_Oysters ,Where_Tuna,Where_Shrimp,Where_Salmon,Where_Flounder,Where_BlueCrab,Where_Clams,Where_Mullet,Where_Oysters,Form_Tuna,Form_Shrimp,Form_Salmon,Form_Flounder,Form_BlueCrab,Form_Clams,Form_Mullet,Form_Oysters,Preference_Tuna ,Preference_Shrimp,Preference_Salmon,Preference_Flounder,Preference_BlueCrab ,Preference_Clams ,Preference_Mullet ,Preference_Oysters,Qualities_Healthy ,Qualities_Local ,Qualities_Safe ,Qualities_Local_Economies ,Qualities_Tasty ,Qualities_Affordable,Qualities_Local_Culture ,Qualities_Sustainable ,Qualities_Easy_Access ,Qualities_Local_Environments,Qualities_Fresh,Importance_Health,Importance_Local,Importance_Safe,Importance_Local_Economies,Importance_Tasty,Importance_Affordable,Importance_Local_Culture,Importance_Sustainable,Importance_Easy_Access,Importance_Local_Environments,Importance_Fresh,Importance_Wild,Importance_Farmed,WTP_Healthy,WTP_Local,WTP_Safe,WTP_Local_Economies,WTP_Tasty,WTP_Affordable,WTP_Local_Culture,WTP_Sustainable,WTP_Easy_Access,WTP_Local_Environments,WTP_Fresh,WTP_Wild,WTP_Farmed,Covid_Importance_Healthy,Covid_Importance_Local,Covid_Importance_Safe,Covid_Importance_Local_Economies,Covid_Importance_Tasty,Covid_Importance_Affordable,Covid_Importance_Local_Culture,Covid_Importance_Sustainable,Covid_Importance_Easy_Access,Covid_Importance_Local_Envrionments,Covid_Importance_Fresh,Covid_Importance_Wild,Covid_Importance_Farmed,Rank_Coastal_Development,Rank_Heritage,Rank_State_Economy,Rank_Sustainability ,Rank_Small_Business,Rank_Wages,Rank_Trade_Deficit,Rank_Food_Security,Rank_Wild,Rank_Farmed,Local_Seafood,Local_Seafood_Text,Benefit_Local,LocalBenefit1,LocalBenefit2,Rate_Mariculture_Win,Rate_Grow_Oyster_Market,Rate_Regulatory_Balance,Rate_Unfair_Markets,Rate_Company_Rights,Rate_Good_Bad_Years,Rate_Hurt_Oyster_Market,Rate_Heritage_Loss,Rate_Local_Food_Security,Rate_Farms_Improve_Fishing,Rate_Aquaculture_Future,Rate_Residential_Leases,Rate_Overfishing_Occurring ,Rate_Fish_Meant_Harvesting ,Rank_Growth_NC_Seafood_Critical,Rank_Farming_Priority,Rank_Commercial_Fishing_Protection,Rank_Commercial_Fishing_Backbone,Knowledge_Production,Frequency_NC_Coast,Involvement_Commercial,Involvement_Recreational,Eat_Catch,Distance_NC_Coast_original,Zip,Age_original,Age_corrected,Over_Under_40,Gender_original,Gender_Text,Education,Political_Party,Political_Party_Text,Race1,Race2,Race3,Race4,Race_Text,Race_Combined,Income,Duration
1,Cabarrus,1,3,3,0,5,0,0,0,0,0,0,,3,,,,,,,,5,,,,,,,,1,,,,,,,,3,,,,,,,1,2,3,4,5,4,3,2,1,2,3,5,4,3,2,1,2,3,4,4,5,5,5,5,0,1,2,3,4,4,4,3,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,,,1,,,,,3,,"Please let us know what you like to do for fun. Do you have any favorite activities or hobbies?
Type your response in the box below and include as much detail as possible.",,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,1,3,2,4,4,8,3,3,4,4,28027,2,2,1,1,,4,1,,1,,,,,1,4,136
1,Wilson,2,2,3,0,2,0,0,0,0,0,0,,0,,,,,,,,3,,,,,,,,2,,,,,,,,3,,,,,,,5,3,3,2,2,1,2,2,3,2,3,4,1,5,3,5,5,4,4,5,4,5,5,3,2,1,3,2,3,1,2,2,1,2,3,2,1,3,2,3,3,3,3,2,2,2,3,2,2,1,,,1,3,,2,,,,,4,,it will be fresher than wild caught,,,5,3,2,4,4,5,3,4,4,3,4,4,2,3,3,4,1,2,1,2,0,0,0,5,27851,4,4,2,2,,2,3,,1,,,,,1,2,473
1,Clay,2,4,3,4,3,2,2,0,0,0,0,0,0,0,0,,,,,3,4,3,4,,,,,3,1,1,1,,,,,1,1,1,1,,,,,1,3,1,1,1,2,1,1,1,3,2,5,3,5,5,5,5,4,5,5,5,5,5,3,2,1,2,1,2,1,1,2,1,1,1,1,0,3,2,3,3,3,3,3,3,3,3,3,3,2,,3,,1,,,,2,,,4,,"You are helping with the local economy and getting good, safe food.",,,5,3,5,3,5,5,3,5,1,3,4,5,5,5,1,3,2,4,1,1,0,0,4,6,28909,5,6,2,2,,4,1,,1,,,,,1,4,817
1,Wake,1,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,5,5,5,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,5,5,5,5,5,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,,3,,,2,1,,,,,2,,all great,,,5,5,5,4,4,5,5,5,4,4,5,5,5,4,4,2,3,1,3,6,3,1,4,2,27587,3,3,1,2,,5,3,,1,,,,,1,4,212
1,Edgecombe,2,2,6,3,4,5,4,5,5,6,6,4,4,4,4,5,6,5,6,1,1,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,1,,,,,3,,Seafood is great tasting and the fries are delicious.,,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,1,3,4,4,8,0,0,4,2,27843,4,4,2,1,,6,2,,3,,,,,3,1,368
1,Wake,1,3,3,2,3,3,2,2,0,0,0,0,0,0,0,0,,,,3,4,3,4,5,,,,3,1,3,1,1,,,,3,1,3,1,1,,,,1,1,1,1,1,3,1,1,3,1,1,5,4,5,5,5,5,4,4,4,5,5,5,3,1,1,1,1,2,1,3,2,1,3,3,2,1,3,2,2,3,3,3,3,3,2,3,3,3,2,2,1,,,,3,,,,,3,,Helps the economy of local and state communities,,,5,5,5,5,2,2,5,5,5,5,5,5,5,4,3,4,2,1,1,3,0,3,3,5,27610,5,5,2,2,,3,2,,3,,,,,3,5,875
1,Franklin,2,3,5,1,3,0,2,0,2,0,0,0,0,,0,,0,,,3,4,,4,,3,,,3,5,,5,,5,,,5,3,,3,,3,,,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,,,,2,,3,,,3,,Freshness and supporting our state.,,,2,3,3,3,3,4,4,4,4,3,3,3,4,1,2,4,3,1,1,1,0,0,0,6,27525,5,6,2,1,,5,3,,1,,,,,1,4,731
1,Davidson,2,3,3,6,5,6,6,4,4,3,4,6,5,6,4,4,4,3,3,4,2,3,3,4,4,5,4,1,2,3,2,2,3,3,2,1,2,3,3,2,3,2,2,1,2,1,1,2,2,1,1,2,2,2,5,5,4,3,3,4,4,4,5,5,4,3,4,4,3,3,4,4,4,4,3,4,3,4,3,2,3,3,1,3,3,3,3,1,3,3,3,1,3,,,3,,,,,1,2,,6,,because its a really good value for money,,,5,5,4,4,5,5,5,4,5,5,5,5,4,5,2,1,3,4,4,4,3,3,3,3,27262,4,4,2,2,,6,1,,1,,,,,1,7,400
1,Wake,1,3,2,0,2,2,0,0,0,0,0,,0,0,,,,,,,4,4,,,,,,,5,5,,,,,,,3,3,,,,,,5,2,3,3,2,3,3,3,3,3,2,4,4,5,4,5,3,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,1,,2,,,3,,"Freshness, support of NC economy and taste.",,,5,3,4,4,3,4,3,3,4,4,4,5,3,3,1,2,4,3,0,3,0,0,0,6,27603,6,7,2,1,,3,3,,1,,,,,1,2,555
1,Forsyth,1,3,2,1,1,0,0,0,0,0,0,1,0,,,,,,,4,3,,,,,,,4,2,,,,,,,1,1,,,,,,,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,1,1,0,2,4,2,2,2,1,1,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,1,2,,,,,,3,,Benefits the community and it reduces transportation emissions ,,,3,3,3,4,1,1,5,3,3,5,1,5,5,1,1,4,3,2,0,2,0,3,3,6,27104,2,2,1,1,,6,3,,1,,,,,1,6,883
