StartDate,Start Date,,,
EndDate,End Date,,,
Status,Response Type,,,
IPAddress,IP Address,,,
Progress,Progress,,,
Duration (in seconds),Duration (in seconds),,,
Finished,Finished,,,
RecordedDate,Recorded Date,,,
ResponseId,Response ID,,,
RecipientLastName,Recipient Last Name,,,
RecipientFirstName,Recipient First Name,,,
RecipientEmail,Recipient Email,,,
ExternalReference,External Data Reference,,,
LocationLatitude,Location Latitude,,,
LocationLongitude,Location Longitude,,,
DistributionChannel,Distribution Channel,,,
UserLanguage,User Language,,,
Q1,"The Value of Fishing, Farming, and Eating: New Approaches to Understanding Coastal Community Wellbeing in a Changing World

 
You are invited to take part in a research study conducted by a team of researchers at Duke University, the University of Southern Mississippi, the University of Maine, and the Coastal Studies Institute. The study is funded by the North Carolina Sea Grant.



Key Information

 

The purpose of the research
study is to understand trends in seafood production and consumption among North
Carolina residents.

 

Participation in the study
involves completing a survey that will ask you questions about yourself, such
as your age and gender, as well as questions about your seafood eating habits
and your views on seafood production and coastal communities in North Carolina.

 

The survey should take
approximately 20 minutes to complete.

 

If you choose to participate,
the information you provide will never be associated with your name or any
other identifiable information. Although collected data may be made public or used
for future research and teaching purposes, your identity will always remain
confidential.

 

The research and research
results will not benefit you personally, but you will be compensated the amount
you agreed upon before you entered the survey. We know of no risks resulting
from participating in the study.

 

Your participation is
voluntary. You may withdraw at any time, and you may choose to not to answer
any question.

 

Thank you for your
participation!

 

If you have any questions
about our research team or the research project, feel free to contact Dr. Luke
Fairbanks (luke.fairbanks@usm.edu) and/or Dr. Grant Murray
(grant.murray@duke.edu) now or later. If you have questions about your rights
as a research subject, please contact Duke University’s Institutional Review
Board at campusirb@duke.edu or at 919-684-3030.

 

Do you consent to taking this survey?",,,
Q2,What state do you live in?,State,,
Added,Dataset,Dataset,"1=Qualtrics
2= Core Sound Museum
3= Walking Fish ",
"Q3
code1",What county do you live in?,County_Urban,"For Q3_code1:
1=Urban center
2=Non-urban ","Note: urban center defined as the 12 most populous counties in the state (based on population estimates for 2019, retreived from https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html ). Chose 12 because that is all of them with a county population of over 200,000. Also Cabarrus and Johnston counties encompass populations associated with Charlotte and Raleigh, respectively. 
Urban center counties (in order of most to least populated): Wake, Mecklenburg, Guilford, Forsyth, Cumberland, Durham, Buncombe, Union, New Hanover, Gaston, Cabarrus, Johnston
"
"Q3
code2",What county do you live in?,County_Bioregion ,"For Q3_code2:
1=Tidewater counties
2=Inner coastal Plain counties
3=Piedmont counties
4=Mountain counties",Note: deliniation of counties pulled from NCpedia.com <https://www.ncpedia.org/our-state-geography-snap-three>
Q4,"The Value of Fishing, Farming, and Eating: New Approaches to Understanding Coastal Community Wellbeing in a Changing World

 
You are invited to take part in a research study conducted by a team of researchers at Duke University, the University of Southern Mississippi, the University of Maine, and the Coastal Studies Institute. The study is funded by the North Carolina Sea Grant.



Key Information

 

The purpose of the research study
is to understand trends in seafood production and consumption among North
Carolina residents.

 

Participation in the study
involves completing a survey that will ask you questions about yourself, such
as your age and gender, as well as questions about your seafood eating habits
and your views on seafood production and coastal communities in North Carolina.

 

The survey should take
approximately 20 minutes to complete.

 

If you choose to participate,
the information you provide will never be associated with your name or any
other identifiable information. Although collected data may be made public or
used for future research and teaching purposes, your identity will always
remain confidential.

 

The research and research
results will not benefit you personally. We know of no risks resulting from
participating in the study.

 

Your participation is
voluntary. You may withdraw at any time, and you may choose to not to answer
any question.

 

Thank you for your
participation!

 

If you have any questions
about our research team or the research project, feel free to contact Dr. Luke
Fairbanks (luke.fairbanks@usm.edu) and/or Dr. Grant Murray (grant.murray@duke.edu)
now or later. If you have questions about your rights as a research subject,
please contact Duke University’s Institutional Review Board at
campusirb@duke.edu or at 919-684-3030.

 

Do you consent to taking this survey?",,,
Q5,What state do you live in?,,,
Q6,What county do you live in?,,,
Q7,"In the past year, about how often did you eat seafood?",Frequency_General,"For Q7, Q8, Q9:
0=Never
1=Once in the past year
2=A few times in the past year
3=Once a month
4=A few times every month
5=Once a week
6=More than once a week",
Q8_1,"In the past year, about how often did you eat the following types of seafood? - Tuna",Frequency_Tuna,Same as above,
Q8_2,"In the past year, about how often did you eat the following types of seafood? - Shrimp",Frequency_Shrimp,Same as above,
Q8_3,"In the past year, about how often did you eat the following types of seafood? - Salmon",Frequency_Salmon,Same as above,
Q8_4,"In the past year, about how often did you eat the following types of seafood? - Flounder",Frequency_Flounder,Same as above,
Q8_5,"In the past year, about how often did you eat the following types of seafood? - Blue Crab",Frequency_BlueCrab,Same as above,
Q8_6,"In the past year, about how often did you eat the following types of seafood? - Clams",Frequency_Clams,Same as above,
Q8_7,"In the past year, about how often did you eat the following types of seafood? - Mullet",Frequency_Mullet,Same as above,
Q8_8,"In the past year, about how often did you eat the following types of seafood? - Oysters",Frequency_Oysters,Same as above,
Q9_1,"In the past year, about how often did you eat the following types of seafood raw? - Tuna",Frequency_raw_Tuna,Same as above,
Q9_2,"In the past year, about how often did you eat the following types of seafood raw? - Shrimp",Frequency_raw_Shrimp,Same as above,
